URAIAN,,,ANGGARAN,,,REALISASI,,%-REAL thd ANG,,
,,,MEI,s/d MEI,2023,MEI,s/d MEI,MEI,s/d MEI,2023
1,,,2,3,4,5,6,7,8,9
PENDAPATAN OPERASI,,,3206.5,12722,44922,3006.996983,9801.41766,0.937781688,0.770430566,0.218187473
BIAYA OPERASI,,,1962.036941,9830.507124,27464.04621,1166.254841,7743.788294,0.594410236,0.787730297,0.28196094
% thd Pendapatan Operasi,,,0.611893635,0.772717114,0.611371849,0.387847027,0.790068188,,,
LABA (RUGI) OPERASI,,,1244.463059,2891.492876,17457.95379,1840.742142,2057.629366,1.479145667,0.711614883,0.117862001
% thd Pendapatan Operasi,,,0.388106365,0.227282886,0.388628151,0.612152973,0.209931812,,,
KSO SCI-VPTI,,,0,0,0,0,0,0,0,0
LABA (RUGI) OPERASI + KSO,,,1244.463059,2891.492876,17457.95379,1840.742142,2057.629366,1.479145667,0.711614883,0.117862001
% thd Pendapatan Operasi,,,0.388106365,0.227282886,0.388628151,0.612152973,0.209931812,,,
BIAYA USAHA,,,285.53892,1229.523429,3228.598108,181.333906,1579.338297,0.635058457,1.284512568,0.489171536
% thd Pendapatan Operasi,,,0.08905003,0.096645451,0.071871201,0.060303987,0.16113366,,,
LABA (RUGI) USAHA,,,958.924139,1661.969447,14229.35568,1659.408236,478.291069,1.730489586,0.287785717,0.033612981
% thd Pendapatan Operasi,,,0.299056335,0.130637435,0.316756949,0.551848986,0.048798152,,,
PENDAPATAN LAIN-LAIN,,,0,0,0,0.05077,1.166446,0,0,0
BIAYA LAIN-LAIN,,,0,0,0,1.135767,32.694923,0,0,0
LABA (RUGI) SEBELUM PAJAK,,,958.924139,1661.969447,14229.35568,1658.323239,446.762592,1.729358112,0.268815166,0.031397247
% thd Pendapatan Operasi,,,0.299056335,0.130637435,0.316756949,0.551488162,0.045581426,,,
PAJAK KINI,,,239.7310348,415.4923618,3841.926034,414.5808098,111.690648,1.729358112,0.268815166,0.029071525
PAJAK TANGGUHAN,,,0,0,0,0,0,0,0,0
LABA (RUGI) SETELAH PAJAK,,,719.1931043,1246.477085,10387.42965,1243.742429,335.071944,1.729358112,0.268815166,0.032257445
% thd Pendapatan Operasi,,,0.224292251,0.097978076,0.231232573,0.413616121,0.034186069,,,
